"id_item","nom_fr","nom_en","chaine_alpha_fr","chaine_alpha_en","autre_nom_fr","autre_nom_en","nom_court_fr","nom_court_en","nom_complet_fr","nom_complet_en","representatif_fr","representatif_en","fonction_classification_fr","fonction_classification_en","latin"
5,,,,"Flour mite Acarus",,,,,,,,,," ","Acarus siro"
7,"Dermatophagoides farinae / acarien DF","Dermatophagoides farinae / house dust mite DF",,,,,,,,,,,," ",
8,,,,,,,,"Dermatoph. Microceras",,,,,," ",
9,"Dermatophagoides pteronyssinus / acarien DP",,,,,,,,,,,,," ",
17,,"Botrytis / Bunch Rot",,,,,,,,,,,," ",
36,,"Gray Alder / Mountain Alder / Speckled Alder",,"Alder Alnus",,,,"Alder",,,,,," ",
38,,"Birch",,"birch Betula",,,,"Birch",,,,,," ",
41,,"European hornbeam / yoke elm",,"Carpinus charm",,,,"Hornbeam",,,,,," ",
49,,"Hazel tree",,"hazel Corylus",,,,"Hazel",,,,,," ",
52,,"Lilac (# spp)",,"Lilac Syringa",,,,"Lilac (# spp)",,,,,," ",
54,,"Wild Privet / Common Privet",,"privet Ligustrum",,,,"Wild Privet",,,,,," ",
58,,"Mediterranean cypress / Italian cypress",,"cypress Cupressus",,,,"Mediterranean cypress",,,,,," ",
62,,"Incense cedar",,"libocedre Calocedrus",,,,"Incense cedar",,,,,," ",
63,"Génévrier de Virginie","Eastern red-cedar","Génévrier Juniperus","Red-cedar Juniperus",,,,"Eastern red-cedar",,,,,," ",
64,,"Savin juniper",,"Savin Juniperus",,,,"Savin juniper",,,,,," ",
68,,"Australian pine / she-oak / Horsetail Tree",,"Australian pine Casuarina",,,,"Filao / Australian pine",,,,,," ",
72,,"Palm tree (# spp)",,"Palm tree Phoenix ",,,,"Palm tree (# spp)",,,,,," ",
77,,"American Sycamore / London Plane Tree",,"Sycamore Platanus",,,,"London plane tree (P. acerifolia)",,,,,," ",
80,,"Elder tree pollen",,"Elder Sambucus",,,,"Elder tree pollen",,,,,," ",
82,,"Willow (# spp)",,"Willow Salix",,,,"Willow tree (# spp)",,,,,," ",
83,,"Lime tree /Linden pollen",,"linden Tilia",,,,"Lime tree",,,,,," ",
84,,"Redtop / Bent grass  (# spp)",,"Redtop Agrostis",,,,"Redtop / Bent grass  (# spp)",,,,,," ",
89,,"Smooth brome grass / Hungarian brome",,"brome Bromus",,,,"Smooth brome grass / Hungarian brome grass",,,,,," ",
90,,"Couch grass (# spp)",,"Couch grass Agropyron",,,,"Couch grass / Quackgrass (# spp)",,,,,," ",
91,,"Orchard grass / cocksfoot grass",,"cocksfoot Dactylis",,,,"Orchard grass / cocksfoot grass",,,,,," ",
92,,"Tall fescue",,"Fescue Festuca",,,,"Tall fescue",,,,,," ",
93,,"Fescue (# spp)",,"Fescue Festuca",,,,"Fescue (# spp)",,,,,," ",
95,,"Timothy grass ",,"timothy Phleum",,,,"Timothy grass",,,,,," ",
98,,"Tall oat grass / False Oat grass",,"Fromental oats Arrhenatherum",,,,"Tall oatgrass",,,,,," ",
102,"Ivraie vivace / Ray-grass","Perennial ryegrass",,"darnel ryegrass Lolium",,,,"Perennial ryegrass",,,,,," ",
105,,"Oat grass pollen",,"Oats Avena",,,,"Oat grass pollen",,,,,," ",
109,,"Rye grass pollen",,"Rye grass Secale",,,,"Rye grass pollen",,,,,," ",
111,,"Meadow foxtail",,"foxtail Alopecurus",,,,"Meadow foxtail",,,,,," ",
112,,"Bermuda grass",,"Bermuda grass Cynodon",,,,"Bermuda grass",,,,,," ",
121,,"Short ragweed / Annual ragweed",,"Ambrosia Ambrosia",,,,"Short ragweed / Annual ragweed",,,,,," ",
122,,"Giant ragweed / Tall ragweed",,"Ambrosia Ambrosia",,,,"Giant ragweed / Tall ragweed",,,,,," ",
123,,"Mugwort / wormwood / sagebrush / sagewort (# spp)",,"Artemisia Artemisia",,,,"Mugwort / sagebrush / wormwood / sagewort (# spp)",,,,,," ",
125,,"Camomile / chamomile / matricaria",,"Matricaria chamomile",,,,"Chamomile",,,,,," ",
126,"Fausse ambroisie / Herbe à puces","American wormseed / bluebush / Indian goosefoot","Dysphania ambrosioides","Dysphania ambrosioides",,,"Fausse ambroisie / Herbe à puces","American wormseed / bluebush / Indian goosefoot",,,,,," ",
127,,"Southern bugle / rough Marsheleder",,"iva",,,,"Southern bugle / rough Marsheleder",,,,,," ",
133,,"Redroot pigweed / redroot Amaranth / common tumbleweed ",,"Amaranth Amaranthus",,,,"Redroot pigweed / redroot Amaranth / common tumbleweed ",,,,,," ",
134,,"Burningbush / kochia/ belvedere / mexican firebrush",,"anserine kochia Bassia",,,,"Burning bush / kochia / belvedere / Mexican firebrush",,,,,," ",
140,,"Annual mercury (# spp)",,"mercurial Mercurialis",,,,"Annual mercury (# spp)",,,,,," ",
141,,"Parietaria (# spp)",,"Parietaria Parietaria",,,,"Parietaria (# spp)",,,,,," ",
143,,"Pellitory of the wall / Upright pellitory",,"Parietaria Parietaria",,,,"Upright pellitory",,,,,," ",
145,,"Narrow-leaved plantain / English plantain / ribwort",,"plantain Plantago",,,,"English plantain",,,,,," ",
147,,"Rapeseed pollen / canola pollen",,"Brassica",,,,"Oilseed rape pollen / canola pollen",,,,,," ",
149,,"Lupine (pollen)",,"Lupin Lupinus",,,,"Lupine pollen",,,,,," ",
150,,"Russian thistle / Salsola kali",,"Salsola soda",,,,"Russian thistle / Salsola kali",,,,,," ",
151,,"Ewe's milk",,"milk sheep Ovis",,,,"Ewe's milk",,,,,," ",
155,,"European red mite (# spp)",,"spiders",,,,"European red mite",,,,,," ",
156,,"Hen's egg (white)",,"hen's egg white Gallus",,,,"Hen's egg (white)",,,,,," ",
157,,"Hen's egg (yolk)",,"hen egg yellow Gallus",,,,"Hen's egg (yolk)",,,,,," ",
158,,"Goose (egg)",,"Anser goose egg",,,,"Goose (egg)",,,,,," ",
159,,"Quail (egg)",,"Coturnix quail egg",,,,"Quail (egg)",,,,,," ",
160,,"Duck (egg)",,"duck egg Anas",,,,"Duck (egg)",,,,,," ",
173,,"Seabass",,"Wolf bar Dicentrarchus",,,,"Seabass",,,,,," ",
174,,"Jack fish",,"horse mackerel Trachurus",,,,"Trevally / jack mackerel",,,,,," ",
180,,"Pollock (# spp)",,"place Pollachius",,,,"Pollock (Pollachius # esp)",,,,,," ",
185,,"Atlantic cod",,"cod Gadus",,,,"Cod",,,,,," ",
219,,"Frog",,"frog Rana",,,,"Frog",,,,,," ",
220,,"Oat flour",,"oat flour Avena",,,,"Oat (flour)",,,,,," ",
221,,"Barley flour",,"Barley (flour)",,,,"Barley (flour)",,,,,," ",
222,,"Wheat flour",,"wheat flour wheat Triticum",,,,"Wheat (flour)",,,,,," ",
223,,"Rye flour",,"Secale rye flour",,,,"Rye flour",,,,,," ",
224,,"Corn flour / maize flour",,"but flour Zea",,,,"Maize (flour)",,,,,," ",
226,,"Foxtail millet / bird seed",,"millet Setaria",,,,"Foxtail millet",,,,,," ",
229,,"French white bean / flageolet bean / kidney bean",,"flageolet bean Phaseolus",,,,"Bean / Kidney bean",,,,,," ",
233,,"Lupine flour (# spp)",," Lupine flour Lupinus",,,,"Lupine (flour)",,,,,," ",
237,,"Soybean sprouts",,"Soy sprouts Vigna",,,,"Soybean sprouts",,,,,," ",
240,,"Hazelnut",,"hazel Corylus",,,,"Hazelnut",,,,,," ",
243,,"California Black Walnut",,"walnut Juglans",,,,"Walnut (J. californica)",,,,,," ",
255,,"Buckwheat (flour)",,"Buckwheat Fagopyrum",,,,"Buckwheat (flour)",,,,,," ",
258,,"Poppy seed",,"poppy Papaver",,,,"Poppy seed",,,,,," ",
265,,"Pine nut / pine kernel / pinyon / pignolia",,"pinion pine cone pine",,,,"Pine nut / pine kernel / pinyon / pignolia",,,,,," ",
268,,"Wild cherry / Sweet cherry / gean cherry / bigarreau cherry",,"cherry cherry Prunus jinx",,,,"Cherry",,,,,," ",
270,,"Raspberry",,"Raspberry Rubus",,,,"European raspberry",,,,,," ",
275,,"Plum / mirabella ",,"plum plum plum Prunus",,,,"Plum / plum",,,,,," ",
277,,"Cherimoya / Custard apple ",,"custard apple Annona Annona cherimola",,,,"Annone / cherimoya",,,,,," ",
278,,"Avocado",,"Persea avocado",,,,"Avocado",,,,,," ",
295,,"Mandarin / Tangerine / Clementine",,"Citrus clementine mandarin",,,,"Mandarin / Tangerine",,,,,," ",
296,,"Sweet orange ",,"navel orange Citrus",,,,"Sweet orange ",,,,,," ",
305,,"Coriander / Cilantro",,"Coriander Coriandrum",,,,"Coriander / Cilantro",,,,,," ",
310,,"Cucumber",,"Cucumber Cucumis",,,,"Cucumber",,,,,," ",
311,,"Zucchini / Courgette",,"courgette Cucurbita",,,,"Zucchini / Courgette",,,,,," ",
312,,"Melon",,"melon Cucumis",,,,"Melon",,,,,," ",
318,,"Garlic",,"Garlic Allium",,,,"Garlic",,,,,," ",
319,,"Asparagus",,"Asparagus Asparagus",,,,"Asparagus",,,,,," ",
320,,"Beet",,"Beta Beet",,,,"Beet",,,,,," ",
323,,"Cabbage / Broccoli / Cauliflower (# spp)",,"broccoli cauliflower Brassica",,,,"Cabbage, broccoli, cauliflower",,,,,," ",
327,,"Lettuce / iceberg lettuce",,"lettuce Lactuca",,,,"Lettuce / iceberg lettuce",,,,,," ",
330,,"Leek",,"leek Allium",,,,"Leek",,,,,," ",
335,,"Brewer's yeast / baker's yeast",,"beer yeast Saccharomyces baker",,,,"Yeast",,,,,," ",
336,,"Meadow mushroom (Agaricus campestris)",,"Meadow mushroom ",,,,"Meadow mushroom",,,,,," ",
339,,"Deer (epithelia)",,"deer Cervus",,,,"Deer (dander)",,,,,," ",
340,,"Chinchilla (epithelia)",,"chinchilla",,,,"Chinchilla (dander)",,,,,," ",
341,,"Ferret (epithelia)",,"ferret Mustela",,,,"Ferret (dander)",,,,,," ",
343,,"Hamster (epithelia)",,"hamster Cricetus",,,,"Hamster (dander)",,,,,," ",
