"id_item","nom_fr","nom_en","chaine_alpha_fr","chaine_alpha_en","autre_nom_fr","autre_nom_en","nom_court_fr","nom_court_en","nom_complet_fr","nom_complet_en","representatif_fr","representatif_en","fonction_classification_fr","fonction_classification_en","latin"
2,"Blomia (# esp)","Blomia (# spp)","Blomia","Blomia",,,"Blomia (# esp)","Blomia (# spp)",,,,,," ","Blomia"
3,"Dermatophagoides (# esp)","Dermatophagoides (# spp)","Dermatophagoides","Dermatophagoides",,,"Dermatophagoides (# esp)","Dermatophagoides (# spp)",,,,,," ","Dermatophagoides"
4,"Tyrophagus (# esp)","Tyrophagus (# spp)","Tyrophagus","Tyrophagus",,,"Tyrophagus (# esp)","Tyrophagus (# spp)",,,,,," ","Tyrophagus"
5,"Acarus siro","Acarus siro","Acarus","Flour mite Acarus",,,"Acarus siro","Acarus siro",,,,,," ","Acarus siro"
6,"Blomia tropicalis","Blomia tropicalis","Blomia","Blomia",,,"Blomia tropicalis","Blomia tropicalis",,,,,," ",
7,"Dermatophagoides farinae / acarien DF","Dermatophagoides farinae / house dust mite DF","Dermatophagoides","Dermatophagoides",,,"Dermatophagoides farinae","Dermatophagoides farinae / house dust mite",,,,,," ",
8,"Dermatophagoides microceras","Dermatophagoides microceras","Dermatophagoides","Dermatophagoides",,,"Dermatoph. Microceras","Dermatoph. Microceras",,,,,," ",
9,"Dermatophagoides pteronyssinus / acarien DP","Dermatophagoides pteronyssinus / house dust mite","Dermatophagoides","Dermatophagoides",,,"Dermatoph. Pteronyssinus","Dermatoph. Pteronyssinus",,,,,," ",
10,"Euroglyphus maynei","Euroglyphus maynei","Euroglyphus","Euroglyphus",,,"Euroglyphus maynei","Euroglyphus maynei",,,,,," ",
11,"Glycyphagus domesticus","Glycyphagus domesticus","Glycyphagus","Glycyphagus",,,"Glycyphagus domesticus","Glycyphagus domesticus",,,,,," ",
12,"Lepidoglyphus destructor","Lepidoglyphus destructor","Lepidoglyphus","Lepidoglyphus",,,"Lepidoglyphus destructor","Lepidoglyphus destructor",,,,,," ",
13,"Tyrophagus putrescentiae","Tyrophagus putrescentiae","Tyrophagus","Tyrophagus",,,"Tyrophagus putrescentiae","Tyrophagus putrescentiae",,,,,," ",
14,"Alternaria alternata","Alternaria alternata","Alternaria","Alternaria",,,"Alternaria alternata","Alternaria alternata",,,,,," ",
15,"Aspergillus fumigatus","Aspergillus fumigatus","Aspergillus","Aspergillus",,,"Aspergillus fumigatus","Aspergillus fumigatus",,,,,," ",
16,"Aspergillus niger","Aspergillus niger","Aspergillus","Aspergillus",,,"Aspergillus niger","Aspergillus niger",,,,,," ",
17,"Botrytis cinerea","Botrytis / Bunch Rot","Botrytis","Botrytis",,,"Botrytis cinerea","Botrytis Bunch Rot",,,,,," ",
18,"Candida albicans","Candida albicans","Candida","Candida",,,"Candida albicans","Candida albicans",,,,,," ",
19,"Candida (# esp)","Candida (# spp)","Candida","Candida",,,"Candida (# esp)","Candida (# spp)",,,,,," ",
20,"Cladosporium herbarum","Cladosporium herbarum","Cladosporium","Cladosporium",,,"Cladosporium herbarum","Cladosporium herbarum",,,,,," ",
21,"Cladosporium (# esp)","Cladosporium (# spp)","Cladosporium","Cladosporium",,,"Cladosporium (# esp)","Cladosporium (# spp)",,,,,," ",
22,"Curvularia lunata","Curvularia lunata","Curvularia","Curvularia",,,"Curvularia lunata","Curvularia lunata",,,,,," ",
23,"Curvularia (# esp)","Curvularia (# spp)","Curvularia","Curvularia",,,"Curvularia (# esp)","Curvularia (# spp)",,,,,," ",
24,"Epicoccum purpurascens","Epicoccum purpurascens","Epicoccum","Epicoccum",,,"Epicoccum purpurascens","Epicoccum purpurascens",,,,,," ",
25,"Fusarium proliferatum","Fusarium proliferatum","Fusarium","Fusarium",,,"Fusarium proliferatum","Fusarium proliferatum",,,,,," ",
26,"Fusarium (# esp)","Fusarium (# spp)","Fusarium","Fusarium",,,"Fusarium (# esp)","Fusarium (# spp)",,,,,," ",
27,"Malassezia (# esp)","Malassezia (# spp)","Malassezia","Malassezia",,,"Malassezia (# esp)","Malassezia (# spp)",,,,,," ",
28,"Mucor racemosus","Mucor racemosus","Mucor","Mucor",,,"Mucor racemosus","Mucor racemosus",,,,,," ",
29,"Mucor (# esp)","Mucor (# spp)","Mucor","Mucor",,,"Mucor (# esp)","Mucor (# spp)",,,,,," ",
30,"Penicillium chrysogenum","Penicillium chrysogenum","Penicillium","Penicillium",,,"Penicillium chrysogenum","Penicillium chrysogenum",,,,,," ",
31,"Penicillium (# esp)","Penicillium (# spp)","Penicillium","Penicillium",,,"Penicillium (# esp)","Penicillium (# spp)",,,,,," ",
32,"Rhodotorula (# esp)","Rhodotorula (# spp)","Rhodotorula","Rhodotorula",,,"Rhodotorula (# esp)","Rhodotorula (# spp)",,,,,," ",
33,"Trichophyton rubrum","Trichophyton rubrum","Trichophyton","Trichophyton",,,"Trichophyton rubrum","Trichophyton rubrum",,,,,," ",
34,"Ulocladium (# esp)","Ulocladium (# spp)","Ulocladium","Ulocladium",,,"Ulocladium (# esp)","Ulocladium (# spp)",,,,,," ",
36,"Aulne","Gray Alder / Mountain Alder / Speckled Alder","aulne Alnus","Alder Alnus",,,"Aulne","Alder",,,,,," ",
37,"Aulne (# esp)","Alder (# spp)","aulne Alnus","Alder Alnus",,,"Aulne (# esp)","Alder (# spp)",,,,,," ",
38,"Bouleau","Birch","bouleau Betula","birch Betula",,,"Bouleau","Birch",,,,,," ",
39,"Bouleau (# esp)","Birch (# spp)","bouleau Betula","birch Betula",,,"Bouleau (# esp)","Birch (# spp)",,,,,," ",
41,"Charme / charmille","European hornbeam / yoke elm","charme Carpinus","Carpinus charm",,,"Charme","Hornbeam",,,,,," ",
44,"Châtaignier commun","European chestnut tree","chataignier Castanea","chestnut Castanea",,,"Châtaignier","Chestnut",,,,,," ",
45,"Chêne","White oak","chene Quercus","Oak Quercus",,,"Chêne","White oak",,,,,," ",
46,"Chêne (# esp)","Oak (# spp)","chene Quercus","Oak Quercus",,,"Chêne (# esp)","Oak (# spp)",,,,,," ",
