"id_item","est_dans_id_item","date_est_dans"
20001,30040,11-juil.-07
20002,30116,11-juil.-07
20003,30068,11-juil.-07
20004,30068,29-oct.-09
20005,30068,11-juil.-07
20006,30068,11-juil.-07
20007,30068,11-juil.-07
20008,30067,11-juil.-07
20009,30244,11-juil.-07
20010,30004,11-juil.-07
20011,30004,11-juil.-07
20012,30141,11-juil.-07
20013,30141,11-juil.-07
20014,30141,11-juil.-07
20015,30141,11-juil.-07
20016,30141,11-juil.-07
20017,30141,11-juil.-07
20018,30141,11-juil.-07
20019,30141,11-juil.-07
20020,30141,11-juil.-07
20021,30141,11-juil.-07
20022,30311,11-juil.-07
20023,30020,11-juil.-07
20024,30142,11-juil.-07
20025,30007,11-juil.-07
20026,30175,11-juil.-07
20027,30007,11-juil.-07
20028,30132,11-juil.-07
20030,30129,11-juil.-07
20031,30177,11-juil.-07
20032,30002,11-juil.-07
20033,30002,11-juil.-07
20034,30002,11-juil.-07
20035,30002,11-juil.-07
20036,30003,11-juil.-07
20037,30268,11-juil.-07
20038,30268,11-juil.-07
20039,30268,11-juil.-07
20040,30268,11-juil.-07
20041,30268,11-juil.-07
20042,30268,11-juil.-07
20043,30268,11-juil.-07
20044,30268,11-juil.-07
20045,30268,11-juil.-07
20046,30121,11-juil.-07
20047,30390,11-juil.-07
20048,30141,11-juil.-07
20049,30141,11-juil.-07
20050,30089,11-juil.-07
20051,30420,11-juil.-07
20052,30178,11-juil.-07
20053,30178,11-juil.-07
20054,30019,11-juil.-07
20055,30019,11-juil.-07
20056,30019,11-juil.-07
20057,30020,11-juil.-07
20058,30214,11-juil.-07
20059,30121,11-juil.-07
20060,30121,11-juil.-07
20061,30121,11-juil.-07
20062,30121,22-août-08
20063,30121,11-juil.-07
20064,30121,11-juil.-07
20065,30375,11-juil.-07
20066,30135,11-juil.-07
20067,30146,11-juil.-07
20068,30085,11-juil.-07
20069,30068,11-juil.-07
20070,30068,11-juil.-07
20071,30095,11-juil.-07
20072,30238,11-juil.-07
20073,30135,11-juil.-07
20074,30004,11-juil.-07
20075,30007,11-juil.-07
20076,30005,11-juil.-07
20077,30005,11-juil.-07
20079,30005,11-juil.-07
20080,30005,11-juil.-07
20081,30005,11-juil.-07
20082,30005,11-juil.-07
20083,30025,11-juil.-07
20084,30025,11-juil.-07
20085,30025,11-juil.-07
20086,30025,11-juil.-07
20087,30025,11-juil.-07
20088,30025,11-juil.-07
20089,30025,11-juil.-07
20090,30025,11-juil.-07
20091,30025,11-juil.-07
20092,30014,11-juil.-07
20093,30077,11-juil.-07
20094,30121,11-juil.-07
20095,30121,11-juil.-07
20096,30226,06-avr.-10
20097,30254,11-juil.-07
20098,30404,11-juil.-07
20099,30484,11-juil.-07
20100,30181,11-juil.-07
20101,30007,11-juil.-07
20102,30410,11-juil.-07
20103,30410,11-juil.-07
20104,30410,11-juil.-07
20105,30410,11-juil.-07
20106,30410,11-juil.-07
20107,30410,11-juil.-07
20108,30410,11-juil.-07
20109,30410,11-juil.-07
20110,30410,11-juil.-07
20111,30410,11-juil.-07
20112,30410,11-juil.-07
20113,30410,11-juil.-07
20114,30410,11-juil.-07
20115,30410,11-juil.-07
20116,30410,11-juil.-07
20117,30410,11-juil.-07
20118,30410,11-juil.-07
20119,30410,11-juil.-07
20120,30410,11-juil.-07
20121,30410,11-juil.-07
20122,30410,11-juil.-07
20123,30410,11-juil.-07
20124,30410,11-juil.-07
20125,30410,11-juil.-07
20126,30410,11-juil.-07
20127,30410,11-juil.-07
20128,30410,11-juil.-07
20129,30410,11-juil.-07
20130,30410,11-juil.-07
20131,30410,11-juil.-07
20132,30410,11-juil.-07
20133,30410,11-juil.-07
20134,30410,11-juil.-07
20135,30410,11-juil.-07
20136,30410,11-juil.-07
20137,30410,11-juil.-07
20138,30410,11-juil.-07
20139,30410,11-juil.-07
20140,30095,11-juil.-07
20141,30031,11-juil.-07
20142,30182,11-juil.-07
20143,30007,11-juil.-07
20144,30007,11-juil.-07
20145,30007,11-juil.-07
20146,30007,11-juil.-07
20147,30007,11-juil.-07
20148,30007,11-juil.-07
20149,30005,11-juil.-07
20150,30404,11-juil.-07
20151,30020,11-juil.-07
20152,30020,11-juil.-07
20153,30020,11-juil.-07
20154,30020,11-juil.-07
20155,30020,11-juil.-07
20156,30020,11-juil.-07
20157,30020,11-juil.-07
20158,30020,11-juil.-07
20159,30020,11-juil.-07
20160,30135,11-juil.-07
20161,30011,11-juil.-07
20162,30014,11-juil.-07
20163,30009,11-juil.-07
20164,30127,11-juil.-07
20165,30032,11-juil.-07
20166,30020,11-juil.-07
20167,30185,11-juil.-07
20168,30186,11-juil.-07
20169,30220,11-juil.-07
20170,30121,11-juil.-07
20171,30121,11-juil.-07
20172,30132,11-juil.-07
20173,30177,11-juil.-07
20174,30011,11-juil.-07
20175,30011,11-juil.-07
20176,30188,11-juil.-07
20177,30188,11-juil.-07
20178,30188,11-juil.-07
20179,30189,11-juil.-07
20180,30189,11-juil.-07
20181,30010,11-juil.-07
20182,30010,11-juil.-07
20183,30010,11-juil.-07
20184,30010,11-juil.-07
20185,30268,11-juil.-07
20186,30268,11-juil.-07
20187,30268,11-juil.-07
20188,30186,11-juil.-07
20189,30020,11-juil.-07
20190,30020,11-juil.-07
20191,30440,11-juil.-07
20192,30121,11-juil.-07
20194,30276,11-juil.-07
20195,30276,11-juil.-07
20196,30011,11-juil.-07
20197,30101,11-juil.-07
20198,30145,11-juil.-07
20199,30068,11-juil.-07
20200,30068,11-juil.-07
20201,30496,11-juil.-07
20202,30192,11-juil.-07
20203,30193,11-juil.-07
20204,30193,11-juil.-07
20205,30193,11-juil.-07
20206,30193,11-juil.-07
20207,30193,11-juil.-07
20208,30011,11-juil.-07
20209,30011,11-juil.-07
20210,30031,11-juil.-07
20211,30031,11-juil.-07
20212,30068,11-juil.-07
20213,30068,11-juil.-07
20214,30016,11-juil.-07
20215,30012,11-juil.-07
20216,30064,11-juil.-07
20217,30465,11-juil.-07
20218,30020,11-juil.-07
20219,30020,11-juil.-07
20220,30064,11-juil.-07
20221,30020,11-juil.-07
20222,30017,11-juil.-07
20223,30017,11-juil.-07
20224,30196,11-juil.-07
20225,30390,11-juil.-07
20226,30121,11-juil.-07
20227,30120,11-juil.-07
20228,30268,11-juil.-07
20229,30498,11-juil.-07
20230,30031,11-juil.-07
20231,30020,11-juil.-07
20232,30121,11-juil.-07
20233,30197,11-juil.-07
20234,30020,11-juil.-07
20235,30020,11-juil.-07
20236,30020,11-juil.-07
20237,30020,11-juil.-07
20238,30020,11-juil.-07
20239,30020,11-juil.-07
20240,30020,11-juil.-07
20241,30020,11-juil.-07
20242,30020,11-juil.-07
20243,30020,11-juil.-07
20244,30020,11-juil.-07
20245,30020,11-juil.-07
20246,30101,11-juil.-07
20247,30101,11-juil.-07
20248,30014,11-juil.-07
20249,30014,11-juil.-07
20250,30121,11-juil.-07
20251,30121,11-juil.-07
20252,30200,11-juil.-07
20253,30199,11-juil.-07
20254,30199,11-juil.-07
20255,30019,11-juil.-07
20256,30019,11-juil.-07
20257,30497,11-juil.-07
20258,30497,11-juil.-07
20259,30497,11-juil.-07
20260,30497,11-juil.-07
20261,30497,11-juil.-07
20262,30497,11-juil.-07
20263,30497,11-juil.-07
20264,30497,11-juil.-07
20265,30497,11-juil.-07
20266,30497,11-juil.-07
20267,30497,11-juil.-07
20268,30497,11-juil.-07
20270,30136,11-juil.-07
20271,30201,11-juil.-07
20272,30202,11-juil.-07
20273,30020,11-juil.-07
20274,30144,11-juil.-07
20275,30068,11-juil.-07
20276,30068,05-mars-08
20277,30054,11-juil.-07
20278,30007,11-juil.-07
20279,30007,11-juil.-07
20280,30007,11-juil.-07
20281,30007,11-juil.-07
20282,30007,11-juil.-07
20283,30007,11-juil.-07
20284,30007,11-juil.-07
20285,30007,11-juil.-07
20286,30007,11-juil.-07
20287,30148,11-juil.-07
20288,30276,05-mars-08
20289,30031,11-juil.-07
20290,30205,06-avr.-10
20291,30282,11-juil.-07
20292,30310,11-juil.-07
20293,30121,11-juil.-07
20294,30121,11-juil.-07
20295,30121,11-juil.-07
20296,30110,11-juil.-07
20297,30098,11-juil.-07
20298,30138,11-juil.-07
20299,30020,11-juil.-07
20300,30189,11-juil.-07
20301,30020,11-juil.-07
20302,30031,11-juil.-07
20303,30207,11-juil.-07
20304,30485,11-juil.-07
20305,30209,11-juil.-07
20306,30209,11-juil.-07
20307,30121,11-juil.-07
20308,30007,11-juil.-07
20309,30007,11-juil.-07
20310,30259,11-juil.-07
20311,30023,11-juil.-07
20312,30020,11-juil.-07
20313,30024,11-juil.-07
20314,30144,11-juil.-07
20315,30088,11-juil.-07
20316,30210,11-juil.-07
20317,30007,11-juil.-07
20318,30007,11-juil.-07
20319,30007,11-juil.-07
20320,30007,11-juil.-07
20321,30007,11-juil.-07
20322,30025,11-juil.-07
20323,30025,11-juil.-07
20324,30025,11-juil.-07
20325,30025,11-juil.-07
20326,30025,11-juil.-07
