"id_item","nom","autre_nom","id_type_item","date_item","remarques_item"
20001,"Abelia spp.",,4,11-juil.-07,
20002,"Abies spp.",,4,11-juil.-07,
20003,"Acacia auriculiformis",,4,11-juil.-07,
20004,"Acacia catechu ","Acacia polycantha",4,29-oct.-09,
20005,"Acacia longifolia",,4,11-juil.-07,
20006,"Acacia retinodes",,4,11-juil.-07,
20007,"Acacia senegal",,4,11-juil.-07,
20008,"Acalypha wilkesiana wilkesiana",,4,11-juil.-07,
20009,"Acanthopleura japonica",,4,11-juil.-07,"pas cette espèce dans ITIS"
20010,"Acarus farris",,4,11-juil.-07,
20011,"Acarus siro",,4,11-juil.-07,
20012,"Acer campestre",,4,11-juil.-07,
20013,"Acer macrophyllum",,4,11-juil.-07,
20014,"Acer negundo",,4,11-juil.-07,"t1 = Acer negundo pour Pharmacia / ex Negundo aceroides"
20015,"Acer platanoides",,4,11-juil.-07,
20016,"Acer pseudoplatanus",,4,11-juil.-07,
20017,"Acer rubrum",,4,11-juil.-07,
20018,"Acer saccharinum",,4,11-juil.-07,
20019,"Acer saccharum",,4,11-juil.-07,
20020,"Acer spicatum",,4,11-juil.-07,
20021,"Acer spp.",,4,11-juil.-07,
20022,"Acheta domesticus",,4,11-juil.-07,
20023,"Achillea millefolium",,4,11-juil.-07,
20024,"Manilkara zapota","Calocarpum mammosum",4,11-juil.-07,
20025,"Achyranthes spp.",,4,11-juil.-07,
20026,"Acipenser sturio",,4,11-juil.-07,
20027,"Amaranthus rudis","Acnida tamariscina (sna)",4,11-juil.-07,
20028,"Aconitum spp.",,4,11-juil.-07,
20029,"Acremonium strictum",,4,11-juil.-07,"Fam taxo = ??"
20030,"Acrostichum aureum",,4,11-juil.-07,
20031,"Actinia equina",,4,11-juil.-07,
20032,"Actinidia arguta",,4,11-juil.-07,
20033,"Actinidia chinensis",,4,11-juil.-07,
20034,"Actinidia deliciosa",,4,11-juil.-07,
20035,"Actinidia melanandra",,4,11-juil.-07,
20036,"Adiantum spp.",,4,11-juil.-07,
20037,"Aedes aegypti",,4,11-juil.-07,
20038,"Aedes albifasciatus",,4,11-juil.-07,
20039,"Aedes albopictus",,4,11-juil.-07,
20040,"Aedes communis",,4,11-juil.-07,
20041,"Aedes spp.",,4,11-juil.-07,
20042,"Aedes taeniorhynchus",,4,11-juil.-07,
20043,"Aedes togoi",,4,11-juil.-07,
20044,"Aedes triseriatus",,4,11-juil.-07,
20045,"Aedes vexans",,4,11-juil.-07,
20046,"Aegilops spp.",,4,11-juil.-07,
20047,"Aequipecten opercularis",,4,11-juil.-07,
20048,"Aesculus hippocastanum",,4,11-juil.-07,
20049,"Aesculus spp.",,4,11-juil.-07,
20050,"Agapanthus spp.",,4,11-juil.-07,
20051,"Agapornis spp.",,4,11-juil.-07,
20052,"Agaricus campestris",,4,11-juil.-07,
20053,"Agaricus hortensis","Agaricus bisporus",4,11-juil.-07,
20054,"Agave bracteosa",,4,11-juil.-07,
20055,"Agave sisalana",,4,11-juil.-07,
20056,"Agave spp.",,4,11-juil.-07,
20057,"Ageratum conyzoides",,4,11-juil.-07,
20058,"Agrocybe amara",,4,11-juil.-07,
20059,"Agropyron cristatum",,4,11-juil.-07,
20060,"Agropyron repens","Elymus repens",4,11-juil.-07,
20061,"Agropyron spp.",,4,11-juil.-07,
20062,"Agrostis gigantea","Agrostis alba",4,22-août-08,
20063,"Agrostis spp.",,4,11-juil.-07,
20064,"Agrostis stolonifera",,4,11-juil.-07,
20065,"Agrotis infusa",,4,11-juil.-07,
20066,"Malus pumila",,4,11-juil.-07,
20067,"Ailanthus altissima",,4,11-juil.-07,"Ailanthus excelsa dans Allergome: pas dans NEWT ni ITIS"
20068,"Ajuga spp.",,4,11-juil.-07,
20069,"Falcataria moluccana","Albizia falcata",4,11-juil.-07,
20070,"Albizia julibrissin",,4,11-juil.-07,
20071,"Alcea rosea",,4,11-juil.-07,
20072,"Alces alces",,4,11-juil.-07,
20073,"Alchemilla spp.",,4,11-juil.-07,
20074,"Aleuroglyphus ovatus",,4,11-juil.-07,
20075,"Allenrolfea occidentalis",,4,11-juil.-07,
20076,"Allium ascalonicum",,4,11-juil.-07,
20077,"Allium cepa",,4,11-juil.-07,
20079,"Allium fistulosum",,4,11-juil.-07,
20080,"Allium porrum",,4,11-juil.-07,
20081,"Allium sativum",,4,11-juil.-07,
20082,"Allium schoenoprasum ",,4,11-juil.-07,
20083,"Alnus glutinosa",,4,11-juil.-07,
20084,"Alnus incana",,4,11-juil.-07,
20085,"Alnus japonica",,4,11-juil.-07,
20086,"Alnus nitida",,4,11-juil.-07,
20087,"Alnus rhombifolia",,4,11-juil.-07,
20088,"Alnus rubra",,4,11-juil.-07,
20089,"Alnus sieboldiana",,4,11-juil.-07,
20090,"Alnus spp.",,4,11-juil.-07,
20091,"Alnus viridis",,4,11-juil.-07,
20092,"Alocasia macrorrhiza",,4,11-juil.-07,
20093,"Aloe spp.",,4,11-juil.-07,"ex Aloe vera = herbe médicinale"
20094,"Alopecurus pratensis",,4,11-juil.-07,
20095,"Alopecurus spp.",,4,11-juil.-07,
20096,"Vulpes lagopus","Alopex lagopus",4,06-avr.-10,
20097,"Alosa alosa",,4,11-juil.-07,
20098,"Amblyseius spp.",,4,11-juil.-07,
20099,"Alphitobius diaperinus",,4,11-juil.-07,
20100,"Alstroemeria andina",,4,11-juil.-07,
20101,"Alternanthera spp.",,4,11-juil.-07,
20102,"Alternaria alternata","Alternaria tenuis",4,11-juil.-07,"synonyme en fait pas valide selon ITIS"
20103,"Alternaria arborescens",,4,11-juil.-07,
20104,"Alternaria argyranthemi",,4,11-juil.-07,
20105,"Alternaria blumeae",,4,11-juil.-07,
20106,"Alternaria brassicae",,4,11-juil.-07,
20107,"Alternaria brassicicola",,4,11-juil.-07,
20108,"Alternaria capsici",,4,11-juil.-07,
20109,"Alternaria carotiincultae",,4,11-juil.-07,
20110,"Alternaria cetera",,4,11-juil.-07,
20111,"Alternaria cheiranthi",,4,11-juil.-07,
20112,"Alternaria cinerariae",,4,11-juil.-07,
20113,"Alternaria conjuncta",,4,11-juil.-07,
20114,"Alternaria crassa",,4,11-juil.-07,
20115,"Alternaria cucumerina",,4,11-juil.-07,
20116,"Alternaria dauci",,4,11-juil.-07,
20117,"Alternaria dumosa",,4,11-juil.-07,
20118,"Alternaria eryngii",,4,11-juil.-07,
20119,"Alternaria ethzedia",,4,11-juil.-07,
20120,"Alternaria euphorbiicola",,4,11-juil.-07,
20121,"Alternaria japonica",,4,11-juil.-07,
20122,"Alternaria limoniasperae",,4,11-juil.-07,
20123,"Alternaria longipes",,4,11-juil.-07,
20124,"Alternaria macrospora",,4,11-juil.-07,
20125,"Alternaria metachromatica",,4,11-juil.-07,
20126,"Alternaria mimicula",,4,11-juil.-07,
20127,"Alternaria mouchaccae",,4,11-juil.-07,
20128,"Alternaria oregonensis",,4,11-juil.-07,
20129,"Alternaria petroselini",,4,11-juil.-07,
20130,"Alternaria photistica",,4,11-juil.-07,
20131,"Alternaria porri",,4,11-juil.-07,
20132,"Alternaria pseudorostrata",,4,11-juil.-07,
20133,"Alternaria radicina",,4,11-juil.-07,
20134,"Alternaria smyrnii",,4,11-juil.-07,
20135,"Alternaria solani",,4,11-juil.-07,
20136,"Alternaria sonchi",,4,11-juil.-07,
20137,"Alternaria spp.",,4,11-juil.-07,
20138,"Alternaria tagetica",,4,11-juil.-07,
20139,"Alternaria tenuissima",,4,11-juil.-07,
20140,"Althaea officinalis",,4,11-juil.-07,
20141,"Alyssum spp.",,4,11-juil.-07,
20142,"Amanita muscaria",,4,11-juil.-07,
20143,"Amaranthus hybridus",,4,11-juil.-07,
20144,"Amaranthus palmeri",,4,11-juil.-07,
20145,"Amaranthus retroflexus","Amaranthus spinosus",4,11-juil.-07,
20146,"Amaranthus spp.",,4,11-juil.-07,
