"id_biblio","date_biblio","id_redacteur","auteurs","titre","journal","annee","volume","supplement","numero","prem_page","dern_page","autre_media","abstract","lien_ressource_web","full_text_disponible","doublon_vu"
7000,2005-06-01,"HM","Malandain H.","IgE-reactive carbohydrate epitopes--classification, cross-reactivity, and clinical impact (2nd part)","Eur Ann Allergy Clin Immunol",2005,"37",,,"247","256"," ",," ",VRAI,FAUX
7001,2005-06-01,"HM","Quirce S. Madero MF. Fernandez-Nieto M. Jimenez A. Sastre J.","Occupational asthma due to the inhalation of cauliflower and cabbage vapors","Allergy",2005,"60",,,"969","970"," ",," ",VRAI,FAUX
7002,2005-06-01,"HM","Shek LPC. Bardina L. Castro R. Sampson HA. Beyer K.","Humoral and cellular responses to cow milk proteins in patients with milk-induced IgE-mediated and non-IgE-mediated disorders","Allergy",2005,"60",,,"912","919"," ",," ",VRAI,FAUX
7003,2005-06-01,"HM","Tsai LC. Peng HJ. Lee CS. Chao PL. Tang RB. Tsai JJ. Shen HD. Hung MW. Han SH.","Molecular cloning and characterization of full-length cDNAs encoding a novel high-molecular-weight Dermatophagoides pteronyssinus mite allergen, Der p 11","Allergy",2005,"60",,,"927","937"," ",," ",VRAI,FAUX
7004,2005-06-01,"HM","Wittczak T. Pas-Wyroslak A. Palczynski C.","Occupational allergic conjunctivitis due to coconut fibre dust","Allergy",2005,"60",,,"970","971"," ",," ",VRAI,FAUX
7005,2005-06-01,"HM","Laukkanen A. Ruoppi P. Makinen-Kiljunen S.","Deer ked-induced occupational allergic rhinoconjunctivitis","Ann Allergy Asthma Immunol",2005,"94",,,"604","608"," ","
BACKGROUND: Deer keds (elk fly) have not previously been described as a cause of respiratory or conjunctival sensitization. OBJECTIVE: To report a case of IgE-mediated allergic rhinoconjunctivitis from occupational exposure to deer ked. METHODS: Skin pr"," ",VRAI,FAUX
7006,2005-06-01,"HM","Prescott RA. Potter PC.","Hypersensitivity to airborne spitting cobra snake venom","Ann Allergy Asthma Immunol",2005,"94",,,"600","603"," ","
BACKGROUND: Although the cytolytic, neurotoxic, and hemolytic actions of snake venoms are well known, the ability of airborne inhaled snake venom of the spitting cobra to induce asthma in snake handlers has not been reported. OBJECTIVE: To report the al"," ",FAUX,VRAI
7007,2005-06-01,"HM","Palomares O. Cuesta-Herranz J. Vereda A. Sirvent S. Villalba M. Rodriguez R.","Isolation and identification of an 11S globulin as a new major allergen in mustard seeds","Ann Allergy Asthma Immunol",2005,"94",,,"586","592"," ","
BACKGROUND: Although mustard seed allergy has been largely reported during the preceding 20 years, currently only 2 allergens, Sin a 1 and Bra j 1, have been identified. OBJECTIVE: To improve the characterization of the allergenic profile of yellow must"," ",VRAI,FAUX
7008,2005-06-01,"HM","Keskin O. Tuncer A. Adalioglu G. Sekerel BE. Sackesen C. Kalayci O.","Evaluation of the utility of atopy patch testing, skin prick testing, and total and specific IgE assays in the diagnosis of cow's milk allergy","Ann Allergy Asthma Immunol",2005,"94",,,"553","560"," ","
BACKGROUND: Information on the utility of atopy patch testing (APT) in the diagnosis of food allergy is derived from studies of children with atopic dermatitis. OBJECTIVE: To evaluate the usefulness of APT in the diagnosis of cow's milk allergy (CMA) an"," ",FAUX,FAUX
7009,2005-06-01,"HM","Wang J. Sicherer SH.","Anaphylaxis following ingestion of candy fruit chews","Ann Allergy Asthma Immunol",2005,"94",,,"530","533"," ",," ",VRAI,FAUX
7010,2005-06-01,"HM","Weber RW.","Orchard grass or cock's foot, Dactylis glomerata","Ann Allergy Asthma Immunol",2005,"94",,"5","A6",," ",," ",FAUX,FAUX
7011,2005-06-01,"HM","Meagher JL. Winter HC. Ezell P. Goldstein IJ. Stuckey JA.","Crystal Structure of Banana Lectin Reveals a Novel Second Sugar Binding Site","Glycobiology",2005,"15",,,"1033","1042"," ","
Banana lectin is a dimeric plant lectin from the jacalin-related lectin family. Banana lectin belongs to a subgroup of this family that binds to glucose/mannose, but is unique in recognizing internal alpha1,3 linkages as well as beta1,3 linkages at the ",,FAUX,FAUX
7012,2005-06-01,"HM","Michalsky E. Dunkel M. Goede A. Preissner R.","SuperLigands - a database of ligand structures derived from the Protein Data Bank","BMC Bioinformatics",2005,"6",,,"122",," ","
BACKGROUND: Currently, the PDB contains approximately 29,000 protein structures comprising over 70,000 experimentally determined three-dimensional structures of over 5,000 different low molecular weight compounds. Information about these PDB ligands can","15943884",VRAI,FAUX
7013,2005-06-01,"HM","Eissa AS. Khan SA.","Acid-induced gelation of enzymatically modified, preheated whey proteins","J Agric Food Chem",2005,"53",,,"5010","5017"," ","
Low-pH whey protein gels are formulated using a sequential protocol of heat treatment, enzyme incubation, and cold-set acidification. The heat-induced disulfide and enzyme-catalyzed epsilon-(gamma-glutamyl)lysine linkages, both at neutral pH, produce a "," ",VRAI,FAUX
7014,2005-06-01,"HM","Clark BW. Phillips TA. Coats JR.","Environmental fate and effects of Bacillus thuringiensis (Bt) proteins from transgenic crops: a review","J Agric Food Chem",2005,"53",,,"4643","4653"," ","
This paper reviews the scientific literature addressing the environmental fate and nontarget effects of the Cry protein toxins from Bacillus thuringiensis (Bt), specifically resulting from their expression in transgenic crops. Published literature on an"," ",FAUX,FAUX
7015,2005-06-01,"HM","Nygaard UC. Aase A. Lovik M.","The allergy adjuvant effect of particles - genetic factors influence antibody and cytokine responses","BMC Immunol",2005,"6",,"1","11",," ","
BACKGROUND: There is increasing epidemiological and experimental evidence for an aggravating effect of particulate air pollution on asthma and allergic symptoms and, to a lesser extent, on allergic sensitization. Genetic factors appear to influence not ","15967044",VRAI,FAUX
7016,2005-06-01,"HM","Yoshida T. Usui A. Kusumi T. Inafuku S. Sugiyama T. Koide N. Yokochi T.","A Quantitative Analysis of Cedar Pollen-Specific Immunoglobulins in Nasal Lavage Supported the Local Production of Specific IgE, Not of Specific IgG","Microbiol Immunol",2005,"49",,,"529","534"," ","
Many studies have proved the relevance of local immune responses, rather than systemic immunity, to the pathogenesis of allergic rhinitis. Indeed, allergen-specific B lymphocyte undergoes class switching to IgE in situ. However, the relative contributio"," ",VRAI,FAUX
7017,2005-06-01,"HM","Choi IS. Koh YI. Koh JS. Lee MG.","Sensitivity of the skin prick test and specificity of the serum-specific IgE test for airway responsiveness to house dust mites in asthma","J Asthma",2005,"42",,,"197","202"," ","
BACKGROUND: The concept that asthma diagnosis based on allergen-specific IgE levels in serum is more accurate than diagnosis based on skin test reactivity is controversial. OBJECTIVE: To determine the atopy parameter that correlates most closely with ai","15962877",FAUX,FAUX
7018,2005-06-01,"HM","Keber MM. Gradisar H. Jerala R.","MD-2 and Der p 2 - a tale of two cousins or distant relatives ?","J Endotoxin Res",2005,"11",,,"186","192"," ","
MD-2, an LPS-binding protein is essential for the recognition of LPS by TLR4. MD-2 belongs to the ML superfamily of lipid-binding proteins. The tertiary structure of mite allergen protein Der p 2 was identified as having the protein fold most compatible",,FAUX,FAUX
7019,2005-06-01,"HM","Gonzalez EM. Villalba M. Quiralte J. Batanero E. Roncal F. Albar JP. Rodriguez R.","Analysis of IgE and IgG B-cell immunodominant regions of Ole e 1, the main allergen from olive pollen","Mol Immunol",2006,"43",,,"570","578"," ","
Ole e 1 is a major allergen from olive pollen with an IgE-binding frequency around 80% among allergic population. Its diagnostic value has been demonstrated, and cross-reactive allergens have been found in ash, lilac and privet. We sought to determine I"," ",FAUX,FAUX
7020,2005-06-01,"HM","Barral P. Batanero E. Villalba M. Rodriguez R.","Expression of the major olive pollen allergen Ole e 10 in the yeast Pichia pastoris: Evidence of post-translational modifications","Protein Expr Purif",2005,"44",,,"147","154"," ","
Olive pollen allergy is a clinical disorder that affects around 20% of the population in Mediterranean areas. The major olive pollen allergen, Ole e 10, is involved in cross-reactivity phenomena and asthma induction in allergic patients, and, besides it","15935694",FAUX,FAUX
