"id_biblio","date_biblio","id_redacteur","auteurs","titre","journal","autre_media","annee","volume","supplement","numero","prem_page","dern_page","abstract","full_text_disponible"
1,,"henriM","Wypych JI. Abeyounis CJ. Reisman RE.","Analysis of differing patterns of cross-reactivity of honeybee and yellow jacket venom-specific IgE: use of purified venom fractions","Int Arch Allergy Appl Immunol",,1989,"89",,,"60","66","Prior studies of sera from insect sting-allergic patients have analyzed the relationship of coexisting honeybee venom- and yellow jacket venom-specific IgE. Radioallergosorbent (RAST)-inhibition tests with these venoms revealed four different patterns of ",FAUX
2,,"henriM","Yasueda H. Mita H. Yui Y. Shida T.","Comparative analysis of physicochemical and immunochemical properties of the two major allergens from Dermatophagoides pteronyssinus and the corresponding allergens from Dermatophagoides farinae","Int Arch Allergy Appl Immunol",,1989,"88",,,"402","407","Two major allergens, DP1 (Der p I) and DP2 (Der p II), were isolated from the whole culture extract of Dermatophagoides pteronyssinus, and the physicochemical and immunochemical properties of these allergens were compared with those of the corresponding a",FAUX
3,,"henriM","O'Hehir R. Young D. Kay AB. Lamb J.","Clonal analysis of the cellular immune response to the house dust mite Dermatophagoides farinae","Int Arch Allergy Appl Immunol",,1989,"88",,,"170","172","A panel of human CD4+ T cell clones specific for the house dust mite was isolated from an atopic individual with perennial rhinitis. Soluble antigen specificity was defined using proliferation assays and subsequently the antigenic determinants recognized ",FAUX
4,,"henriM","Hamilton RG.","Allergy testing","Curr Opin Immunol",,1989,"2",,,"558","564","[pas de résumé]",FAUX
5,,"henriM","Chang ZN. Wang MC. Shen HD. Han SH.","[Using anti-sera and monoclonal antibodies against Aspergillus fumigatus to study its cross-reactions with Alternaria alternata and Penicillium sp.] [Chinese]","Chin Med J",,1989,"43",,,"75","80","Using rabbit polyclonal and mouse monoclonal antibodies against Aspergillus fumigatus, we analyzed their cross-reaction with Alternaria alteria and Penicillium sp. by enzyme immuno assay (EIA) and radioimmunoprecipitation (RIP). It was found that neither ",FAUX
6,,"henriM","Benezra C. Sigman CC. Bagheri D. Helmes CT. Maibach HI.","A systematic search for structure-activity relationships of skin sensitizers. II. Para-phenylenediamines","Semin Dermatol",,1989,"8",,,"88","93","[pas de résumé]",FAUX
7,,"henriM","Phillips JW. Bucholtz GA. Fernández-Caldas E. Bukantz SC. Lockey RF.","Bahia grass pollen, a significant aeroallergen: evidence for the lack of clinical cross-reactivity with timothy grass pollen","Ann Allergy",,1989,"63",,,"503","507","Thirty-eight subjects were challenged (25 nasal, 13 bronchial) with Bahia grass, Paspalum notatum, pollen extract. A positive Bahia intradermal skin test predicted a positive challenge to Bahia in all (11/11) of the nasal challenges and 75% (6/8) of the b",FAUX
8,,"henriM","Sakamoto T. Hayashi Y. Yamada M. Torii S. Urisu A.","[A clinical study of two cases with immediate hypersensitivity to apple-pulp and an investigation of cross-allergenicity between apple-pulp allergen and some other pollen allergens]. [Japanese]","Arerugi",,1989,"38",,,"573","579","In Japan there are no case reports of immediate hypersensitivity to apple-pulp. Here, we report on two patients: a 23-year-old woman and a 14-year-old girl with 3-year and 7-year histories, respectively, of anaphylactic reactions to apple-pulp. In the fir",FAUX
9,,"henriM","Uno K. Yamasaku F.","Structural correlations with cross-reactivity of beta-lactam antibiotics in delayed type hypersensitivity. Cross-allergenicity in hypersensitivity to cephems with a tetrazolyl group in the C-3 side chain","J Antimicrob Chemother",,1989,"24",,,"251","264","Cross-reactivity associated with delayed type hypersensitivity (DTH) arising from cephem antibiotics with a tetrazolyl group in the C-3 side chain was investigated by clinical testing and animal experiments.  Clinical cross-reaction testing was performed ",FAUX
10,,"henriM","Osterballe O. Nielsen JP.","Allergen-coated lancets (Phazet) for skin prick testing in children","Allergy",,1989,"44",,,"356","362","With a new allergen-coated lancet (Phazet), skin prick tests can be made directly on the skin without separate use of liquid extract (the Phazet dry method), and reactions are recorded as for the ordinary method with liquid allergen extract (Pharmalgen) (",FAUX
11,,"henriM","Griffin P. Ford AW. Alterman L. Thompson J. Parkinson C. Blainey AD. Davies RJ. Topping MD.","Allergenic and antigenic relationship between three species of storage mite and the house dust mite, Dermatophagoides pteronyssinus","J Allergy Clin Immunol",,1989,"84",,,"108","117","We have explored the antigenic and allergenic relationship between the house dust mite Dermatophagoides pteronyssinus and three species of storage mite, Glycyphagus destructor, Acarus siro, and Tyrophagus longior.  Crossed immunoelectrophoresis demonstrat",FAUX
12,,"henriM","van Hage-Hamsten M. Johansson SG.","Clinical significance and allergenic cross-reactivity of Euroglyphus maynei and other nonpyroglyphid and pyroglyphid mites","J Allergy Clin Immunol",,1989,"83",,,"581","589","The clinical significance and allergenic cross-reactivity of the storage mites Lepidoglyphus destructor and Acarus siro and the house dust mites Dermatophagoides pteronyssinus and Euroglyphus maynei were investigated with specific IgE antibodies by use of",FAUX
13,28-mars-02,"henriM","Bernhisel-Broadbent J. Sampson HA.","Cross-allergenicity in the legume botanical family in children with food hypersensitivity","J Allergy Clin Immunol",,1989,"83",,,"435","440","Sixty-nine patients with one or more positive prick skin tests to legumes (peanut, soybean, green bean, pea, and lima bean) were evaluated for food hypersensitivity with in-hospital oral food challenges. Of the 280 prick skin tests to legumes performed, 1",VRAI
14,,"henriM","Naqpal S. Rajappa L. Metcalfe DD. Rao PV.","Isolation and characterization of heat-stable allergens from shrimp (Penaeus indicus)","J Allergy Clin Immunol",,1989,"83",,,"26","36","Shrimp are among the more common causes of immediate hypersensitivity reactions to food. To characterize better the allergenic substances within shrimp, extracts from heated shrimp were systematically examined with solid-phase radioimmunoassay and sera fr",FAUX
15,,"henriM","Arlian LG. Vyszenski-Moher DL. Gilmore AM.","Cross-antigenicity between Sarcoptes scabiei and the house dust mite, Dermatophagoides farinae (Acari: Sarcoptidae and Pyroglyphidae)","J Med Entomol",,1988,"25",,,"240","247","pas d'abstract",FAUX
16,,"henriM","Baldo BA. Baker RS.","Inhalant allergies to fungi: reactions to bakers' yeast (Saccharomyces cerevisiae) and identification of bakers' yeast enolase as an important allergen","Int Arch Allergy Appl Immunol",,1988,"86",,,"201","208","Forty-seven subjects diagnosed as having inhalant allergies to fungi were tested for allergic sensitivity to bakers' yeast. Skin prick tests with yeast extract showed that 35 subjects responded with wheal reactions that were at least 3 mm while 32 subject",FAUX
17,,"henriM","Koivikko A. Kalimo K. Nieminen E. Savolainen J. Viljanen M. Viander M.","Allergenic cross-reactivity of yeasts","Allergy",,1988,"43",,,"192","200","Yeast allergen extracts of Candida albicans, C. pseudotropicalis, C.  krusei, C. parapsilosis, C. tropicalis, C. guilliermondi, C. humicola, C.  norwegica, C. utilis, Cryptococcus albidus, Geotrichum candidum, Pityrosporon pachydermatis, P. ovale, Rhodoto",VRAI
18,,"henriM","Helm RM. Bandele EO. Swanson MC. Campbell AR. Wynn SR.","Identification of a German cockroach-specific allergen by human IgE and rabbit IgG","Int Arch Allergy Appl Immunol",,1988,"87",,,"230","238","To further study the immunology of insect hypersensitivity, we identified and partially characterized the principal allergens in whole body German cockroach (WBGCR) (Blattella germanica) and compared this extract to whole body antigens prepared from other",FAUX
19,,"henriM","Mourad W. Mecheri S. Peltre G. David B. Hebert J.","Study of the epitope structure of purified Dac G I and Lol p I, the major allergens of Dactylis glomerata and Lolium perenne pollens, using monoclonal antibodies","J Immunol",,1988,"141",,,"3486","3491","The use of mAb allowed us to further analyze the cross-reactivity between purified Dac g I and Lol p I, the major allergens of Dactylis glomerata (cocksfoot) and Lolium perenne (Rye grass), respectively. It was first shown, using IEF, followed by immunopr",FAUX
20,,"henriM","Boutin Y. Hébert H. Vrancken ER. Mourad W.","Allergenicity and cross-reactivity of cat and dog allergenic extracts","Clin Allergy",,1988,"18",,,"287","293","This study aims to confirm that cat allergen 1 (CAT-1) is a major allergenic determinant in cat-sensitive patients, and to further define the role of other determinants, as well as to identify the determinants responsible for the cross-reactivity between ",VRAI
21,,"henriM","Shen HD. Chang LY. Su SN. Han SH.","Characteristics of five monoclonal antibodies to major allergens of the short ragweed pollen","Int Arch Allergy Appl Immunol",,1988,"85",,,"167","173","Monoclonal antibodies against major allergens of the short ragweed pollen were produced by fusion of NS-1 cells with splenic cells from BaLB/C mice that had been immunized separately with the major allergens, AgE-B + E-C and AgK, of the short ragweed poll",FAUX
22,,"henriM","Amoroso S. Cocchiara R. Locorotondo G. Parlato A. Lampiasi N. Albeggiani G. Falagiani P. Geraci D.","Antigens of Euparipha pisana (snail). I. Identification of allergens by means of in vivo and in vitro analysis","Int Arch Allergy Appl Immunol",,1988,"85",,,"69","75","The data obtained in this study suggest that eating Euparipha pisana (snail), a common food in Mediterranean countries, could give serious allergic reaction such as asthma. We describe here the identification and partial characterization of allergenic mol",FAUX
23,,"henriM","Collins AM.","Xenogeneic antibodies and atopic disease","Lancet",,1988,"1",,,"734","737","Xenogeneic antibodies can survive food processing procedures with their biological activity intact and even enhanced. These antibodies can be absorbed from the human gut, and will function both as antigens and antibodies in the human immune system. Antibo",FAUX
24,,"henriM","Castracane JM. Rocklin RE.","Detection of human auto-anti-idiotypic antibodies (Ab2). II. Generation of Ab2 in atopic patients undergoing allergen immunotherapy","Int Arch Allergy Appl Immunol",,1988,"86",,,"295","302","The present study demonstrates the cross-reactivity of a murine monoclonal antibody (MoAb) directed against purified ragweed antigen E (AgE) with human Ab1. This antiragweed AgE MoAb (clone SC7H.1G, IgM kappa) was used to detect Ab2 in the sera obtained f",FAUX
25,,"henriM","Saint-Remy JM. Lebecque SJ. Lebrun PM. Jacquemin MG.","Human immune response to allergens of house dust mite, Dermatophagoides pteronyssinus. V. Auto-anti-idiotypic antibody characterization and cross-reactivity","Eur J Immunol",,1988,"18",,,"1009","1014","From the serum of 10 allergic subjects we have prepared IgG antibodies recognizing idiotopes carried by specific antibodies to Dermatophagoides pteronyssinus (Dpt) allergens, and studied cross-reactivity of anti-Dpt IgG bystander and antigen-binding site-",FAUX
26,,"henriM","Karl S. Rakoski J.","[Hyposensitization with cross-reacting pollen allergens]. [German]","Z Hautkr",,1988,"63","Suppl. 4",,"55","57","Grass-pollen are one of the most common allergens in pollinosis.  Rye-pollen are the most important allergens among cereals-pollen in Germany. Between pollen-allergens, the phenomenon of cross-sensitivity is well-known. In the RAST und RAST-Inhibitionstes",FAUX
27,,"henriM","Vallier P. Dechamp C. Vial O. Deviller P.","A study of allergens in celery with cross-sensitivity to mugwort and birch pollens","Clin Allergy",,1988,"18",,,"491","500","Sixty-one sera with positive RAST to mugwort pollen (Artemisiae vulgaris) were submitted to RASTs for birch pollen (Betula verrucosa) and celery (Apium graveolens). In 36 cases RAST results were positive for celery. In addition, 23 sera presented specific",VRAI
28,,"henriM","Hemmens VJ. Baldo BA. Elsayed S. Bass D.","Allergic response to birch and alder pollen allergens influenced by geographical location of allergic subjects","Int Arch Allergy Appl Immunol",,1988,"87",,,"321","328","A detailed analysis was made of the reactivity patterns of birch pollen-allergic subjects from Norway and Australia to the various IgE-binding components of pollens from several different birch and alder species. Typically, with each of the pollens examin",FAUX
