"id_notes_biblio","id_biblio","date_notes_biblio","id_redacteur","notes_biblio"
1,7001,2005-06-08,"HM","--- Une allergie aux vapeurs de végétaux est rare. Les auteurs citent 3 de leurs travaux où ils ont noté des réactions respiratoires avec la PdeT, la carotte et les haricots verts (ref 1 à 3). Un cas ici d'asthme avec le chou et le chou-fleur dans un cadr"
2,7002,2005-06-08,"HM","--- La gastro-entérite allergique à éosinophiles (GAE) est considérée partiellement IgE-dépendante.
--- Les auteurs ont étudié 113 sujets avec allergie LV (de 6 mois à 22 ans). Un TPODA a été fait chez 41. Tous ont des signes cutanés (DA ou urticaire) et"
3,7003,2005-06-08,"HM","--- Caractérisation de Der p11 à travers son recombinant dans E.coli. C’est une paramyosine de 103 kD qui a 89 % d’identité avec Der f11 et Blo t11. rDer est positif chez 78 % de sujets D.ptero+ et asthmatiques (Taïwan).
RDer p11 et rDer f11 s’inhibent m"
4,7011,2005-06-08,"HM","[pas d'intérêt]"
5,7012,2005-06-08,"HM","[pas d'intérêt allergologique]"
6,7017,2005-06-08,"HM","--- Les études corrélant l’intensité de l’asthme et le résultat du RAST pour les acariens sont contradictoires : Smart JM (JACI 110(02)450) sur un très long suivi de patients trouve que le RAST est mieux corrélé que le TC avec activité/rémission de l’asth"
7,7018,2005-06-08,"HM","--- Les auteurs ont comparé Der p2 et MD-2 (qui est impliquée dans la reconnaissance du LPS par TLR 4). Quelques différences font penser aux auteurs que MD-2 provient d’un ancêtre commun partagé avec Der p2 (superfamille de protéines liant des lipides).
"
8,7021,2005-06-08,"HM","[fig 3, 4 et 5 scannées -> FT]

--- Ara h 3 est une glycinine avec activité Bowman-Birk TI.
---  Env. 60 % d'identité entre beta-conglycinine (tout en omettant les 136AA N-terminaux d'Ara 1 absents de la beta-conglycinine, de la phaseoline, de Len c 1)"
9,7027,2005-06-08,"HM","--- Les auteurs ont testé une bibliothèque de cDNA de feuille de tabac avec le serum d’un sujet pollinique et allergique à divers aliments végétaux. Ils mettent en évidence la présence de villines IgE- réactives (62 et 58 kD).
--- Les villines sont des p"
10,7028,2005-06-08,"HM","--- Etude de 17 Japonais allergiques à Cryptomeria. En CAP, 13 sont positifs pour J. Ashei et nCry j 1 inhibe nJun a 1 (> 50 % chez la plupart des sujets) mais pas l'inverse (fig 2). Pour les auteurs, la RC entre Cry j 1et Jun a 1 est limitée à une partie"
