"ID_GROUPES_PATIENT","NOM","DESCRIPTION_FR","DESCRIPTION_EN","REMARQUES_FR","REMARQUES_EN",,,,,
1,02/01/2011,"Patients allergiques aux acariens","Patients allergic to mites",,,,,,,
2,05/01/2011,,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
3,07/01/2011,,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
4,12/01/2011,"Fermiers avec athme et/ou rhinite","Farmers with asthma and/or rhinitis",,,,,,,
5,17/01/2011,,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
6,20/01/2011,"Allergiques au chat ou au chat et au chien","Patients allergic to cat or to cat and dog",,,,,,,
7,21/01/2011,,,"mAb","mAb",,,,,
8,27/01/2011,"sérothèque 61 sujets IgE + armoise (dont 36 céleri +,23 bouleau + et 23 positifs aux 3)","Serum bank: 61 subjects IgE + to mugwort (36 celery +, 23 birch + and 23 + to all 3)",,,,,,,
9,30/01/2011,"17 sujets avec TC+ perruche et/ou canari (dont 10 avec syndrome œuf-oiseaux)","17 subjects with ST+ to Bugderigar and/or canary (of which 10 have an egg-bird syndrome)",,,,,,,
10,"50-1","Sujets TC+ blatte germanique","Subjects ST+ to German cockroach",,,,,,,
11,"53-1","Allergie professionnelle à des coléoptères","Occupational allergy to beetles",,,,,,,
12,"63-1","Allergiques au chat","Patients allergic to cat",,,,,,,
13,"67-1","Patients allergiques à un trichoptère (et IgE+ pour les inhibiteurs testés)","Patients allergic to trichoptera (and IgE+ for the inhibitors assayed)",,,,,,,
14,"67-2","Sujets allergiques aux acariens","Subjects allergic to mites",,,,,,,
15,"73-1","Sujets TC positifs olivier mais hors du contact de l'olvier","Subjects ST+ to olive but having no contact with olive trees",,,,,,,
16,"75-1","Sujets allergiques au latex","Subjects allergic to latex",,,,,,,
17,"87-1","sujets allergiques au bouleau (avec Bet v1 +) et à la pomme avec TC+","Subjects allergic to birch (being Bet v1 +) and to apple with + ST to apple",,,,,,,
18,"88-1","Polliniques au bouleau","Subjects allergic to birch",,,,,,,
19,"95-1",,,"Inhibition (qui ne marche pas) d'un mélange de 12 graminées par le plantain -> inexploitable","Inhibition of plantain (which does not occur) with a mixture of 12 grasses -> invalid ",,,,,
20,"101-1","Sujets RAST+ pour Aspergillus","Subjects RAST+ for Aspergillus",,,,,,,
21,"102-1","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
22,"107-1","Sujets IgE+ pour Lepidoglyphus et D. pteronyssinus","Subjects IgE+ to Lepidglyphus and D. pteronyssinus",,,,,,,
23,"111-1",,,,,,,,,
24,"116-1","Fermiers allergiques à Panonychus ulmi","Farmers allergic to Panonychus ulmi",,,,,,,
25,"120-1","Sujets polliniques au bouleau avec un RAST+ céleri","Subjects allergic to birch with a + RAST to celery",,,,,,,
26,"121-1","1 sujet allergique aux pollens et aliments (non précisé lesquels)","One subject allergic to pollen and food (not specifying which)",,,,,,,
27,"124-1","Sujets avec eczéma atopique et RAST positifs pour diverses céréales","Subjects with atopic eczema and RAST + for various cereals",,,,,,,
28,"128-1","sujets caucasiens et asiatiques avec pollinose aux graminées","Caucasian and Asiatic subjects with pollinosis to grasses",,,,,,,
29,"142-1","Patients avec dermatite atopique et positifs in vitro pour Candida et Malassezia","Patients with atopic dermititis and in vitro positive to Candida and Malassezia",,,,,,,
30,"145-1","Polliniques TC positifs pour différentes Composées","Pollen-allergic subjects ST+ for different Compositae",,,,,,,
31,"150-1","6 patients allergiques au lait de vache","6 patients allergic to cow's milk",,,,,,,
32,"153-1","6 sujets dont 4 sont céleri + (dont 3 carotte +) et 4 sont cucurbitacés + (3 pastèques, 2 concombres) avec TC ou IgE+","6 subjects of which 4 are celery + (including 3 carrot +) and 4 cucurbitaceae + (3 watermelon, 2 cucumber) with + ST or IgE",,,,,,,
33,"154-1","Patients polliniques pour Boehmeria nivea","Patients with pollinosis to Boehmeria nivea",,,,,,,
34,"158-1","Pollinique avec allergie à la carotte et diverses Apiacées","Pollen-allergic subjects with allergy to carrot and various Apiaceae",,,,,,,
35,"159-1","7 sujets allergiques àla noisette, 5 à la graine de pavot, 1 au sésame, 2 au kiwi","7 subjects allergic to hazelnut, 5 to poppy seed, 1 to sesame, 2 to kiwi",,,,,,,
36,"166-1","Patients allergiques aux acariens","Patients allergic to mites",,,,,,,
37,"167-1","Sujets non exposés à l'ambroisie et TC positifs pour Parthenium","Subjects without exposure to ragweed but with + ST to Parthenium",,,,,,,
38,"171-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
39,"172-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
40,"174-1","sujets positifs pour la profiline de bouleau Bet v2","Subjects positive to birch profilin Bet v2",,,,,,,
41,"181-1","34 sujets allergiques au cyprès blanc avec TC+","34 subjects allergic to white cypress with + ST",,,,,,,
42,"183-1","Sujets avec allergie au poisson et au surimi","Subjects allergic to fish and to surimi",,,,,,,
43,"185-1","Sujets fortement réactifs pour Lol p 1","Subjects strongly reactive to Lol p 1",,,,,,,
44,"186-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
45,"187-1","Patient allergique au chien","A patient allergic to dogs",,,,,,,
46,"188-1",,,"Ab","Ab",,,,,
47,"192-1","Enfants asthmatiques et allergiques aux acariens","Asthmatic children allergic to mites",,,,,,,
48,"196-1","sujet allergique à l'armoise et aux aliments de la famille des Ombellifères avec TPO+ à huile et graine de tournesol","A subject allergic mugwort and to food in the Ombelliferae family with + oral food challenge to sunflower oil and seeds",,,,,,,
49,"200-1","sujets ayant une IgE-réactivité pour le chat et pour la viande de porc","Subjects with IgE reactivity to cats and to pig's meat",,,,,,,
50,"201-1","Fermiers exposés à des acariens de stockage","Farmers exposed to storage mites",,,,,,,
51,"205-1",,,"Manquent détails dans l'article","Missing details in the article",,,,,
52,"207-1","Sujets allergiques à la pêche avec TPO+ et TC+ bouleau et graminées","Subjects allergic to peach with a + oral food challenge and + ST to birch and grasses",,,,,,,
53,"211-1","Sujets positifs pour Fusarium","Subjects positive to Fusarium",,,,,,,
54,"213-1","Sujets RAST+ pour Blomia et Dermatophagoides","Subjects RAST+ for Blomia and Dermatophagoides",,,,,,,
55,"219-1","Fermiers et citadins avec IgE+ pour les acariens à tester","Farmers and urban dwellers with IgE + for mites to be assayed",,,,,,,
56,"225-1","patients allergiques au jaune d'œuf et aux plumes d'oiseaux avec TC+ et IgE+","Patients allergic to egg yolk and bird feathers with + ST and IgE ",,,,,,,
57,"226-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
58,"232-1","sujets allergiques au pollen d'olivier avec TC+ et IgE+","Subjects allergic to olive pollen with + ST and IgE",,,,,,,
59,"235-1","sujets allergiques au latex et à la banane","Subjects allergic to latex and banana",,,,,,,
60,"238-1","Patients ""sensibilisés"" à la crevette et/ou la blatte","Patients ""sensitized"" to shrimp and/or cockroach",,,,,,,
61,"239-1",,,"Pas de RC testée","CR not assayed",,,,,
62,"240-1","Un patient allergique au ficus et un patient allergique au latex puis au ficus","A patient allergic to ficus and a patient allergic to latex plus ficus",,,,,,,
63,"242-1","sujets avec IgE+ au latex et à la papaïne","Subjects IgE+ to latex and to papain",,,,,,,
64,"242-2","sujets avec IgE+ au latex et pas à la papaïne","Subjects IgE+ to latex but not to papain",,,,,,,
65,"242-3","sujets avec IgE+ à la papaïne et pas au latex","Subjects IgE+ to papain but not to latex",,,,,,,
66,"244-1","sujets ""sensibilisés"" à la pariétaire","Subjects ""sensitized"" to wall pellitory+D938",,,,,,,
67,"245-1","Sujets asthmatiques et allergiques aux acariens","Subjects asthmatic and allergic to mites",,,,,,,
68,"247-1","sujets allergiques soit à C. glaucophylla, soit C. sempervirens, soit bouleau, soit ivraie","Subjects allergic either to C. glaucophylla, to C. sempervirens, to birch, or to ryegrass",,,,,,,
69,"248-1","Sujets positifs in vitro pour Candida et Malassezia","Subjects with positive in vitro assay to Candida and Malassezia",,,,,,,
70,"250-1","Sujets RAST+ plantain et psyllium","Subjects RAST+ to plantago and psyllium",,,,,,,
71,"252-1",,,"Pas de RC testée (CRIE)","CR not assayed (CRIE)",,,,,
72,"253-1","Patient allergique aux escargots et TC+ acariens","Patients allergic to snails and ST+ to mites",,,,,,,
73,"254-1","sujets allergiques au cyprès commun C. sempervirens avec TC+","Subjects allergic to common cypress C. sempervirens with + ST",,,,,,,
74,"258-1","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
75,"259-1","Patients allergiques au bouleau et à la pomme","Patients allergic to birch and apple",,,,,,,
76,"260-1","Sujets polliniques avec réactions alimentaires","Pollen-allergic subjects with food allergies",,,,,,,
77,"261-1","Patient mono-Bet v 1","A patient mono-sensitized to Bet v1",,,,,,,
78,"266-1","Polliniques au bouleau avec allergie à la pomme","Patients with birch pollinosis and apple allergy",,,,,,,
79,"269-1","sujets allergiques avec TC+ et IgE+ au latex (env. 1/2 avec TC+ avocat)","Allergic subjects with + ST and IgE to latex (≈ 1/2 with +ST to avocado)",,,,,,,
80,"269-2","sujets allergiques au latex avec TC+ et IgE+","Subjects allergic to latex with + ST and IgE",,,,,,,
81,"274-1",,,"Manquent détails (résumé possésé seulement)","Missing details (only the abstract available)",,,,,
82,"275-1","Allergiques au sarrasin","Subjects allergic to buckwheat",,,,,,,
83,"275-2","Sujets positifs in vitro pour le sarrasin et le riz mais sans allergie au sarrasin","Subjects with a + in vitro assay for sarrasin and rice but without allergy to sarrasin",,,,,,,
84,"276-1","Sujets allergiques au céleri","Subjects allergic to celery",,,,,,,
85,"278-1","sujets allergiques à la farine de blé","Subjects allergic to wheat flour",,,,,,,
86,"279-1","Sujets avec antécédants de piqûre par une guêpe Polistes et positifs en RAST pour P. dominulus ou gallicus","Subjects with a history of wasp (Polistes) sting and + RAST for P. dominulus or P. gallicus",,,,,,,
87,"284-1","sujets allergiques au pollen de bouleau avec TC+ et IgE+ et ayant eu des réactions cliniques avec des aliments (au moins avec 2 parmi pomme, poire, céleri, carotte et p de terre)","Subjects allergic to birch pollen with + ST and IgE and having had clinical reactions to foods (at least with 2 of the following: apple, pear, celery, carrot and potato",,,,,,,
88,"284-2","sujets allergiques au pollen de bouleau avec TC+ et IgE+ et ayant eu des réactions cliniques avec des aliments (au moins avec 2 parmi pomme, poire, céleri, carotte et p de terre)","Subjects allergic to birch pollen with + ST and IgE and having had clinical reactions to foods (at least with 2 of the following: apple, pear, celery, carrot and potato",,,,,,,
89,"285-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed of non-conforming method",,,,,
90,"287-1","Sujets positifs pour le cèdre du Japon","Subjects positive to Japanese cedar",,,,,,,
91,"288-1","sujets allergiques au pollen de gaminées avec TC+ et IgE+ ayant des réactions cliniques et des TC+ aux fruits des Rosacées","Subjects allergic to grass pollen with + ST and IgE having had clinical reactions and + ST to fruit of the Rosaceae family",,,,,,,
92,"290-1","sujets allergiques au latex avec TC+ et IgE+ ayant des réactions cliniques aux fruits","Subjects allergic to latex with + ST and IgE having had clinical reactions to fruit",,,,,,,
93,"291-1","Patients présentant une dermatite atopique","Patients presenting with atopic dermatitis",,,,,,,
94,"292-1","Sujets TC+ blatte germanique et D. pteronyssinus","Subjects ST+ to German cockroach and D. pteronyssinus",,,,,,,
95,"293-1","sujets allergiques au renne (phanères et produits dérivés) avec TC+ et IgE+","Subjects allergic to reindeer (dander and products derived from them) with + ST and IgE",,,,,,,
96,"300-1",,,"Utilisation d'un Ab","Done with an Ab",,,,,
97,"302-1",,,"utilisation d'un Ab","Done with an Ab",,,,,
98,"303-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
99,"305-1","Sujets avec allergie aux poissons vérifiée par TPODA","Subjects with fish allergy proven by oral food challenge",,,,,,,
100,"314-1","sujets allergiques au pollen de bouleau réagissant à au moins 2 aliments parmi pomme, poire, céleri, carotte, p de terre avec des IgE à Bet v1 et Bet v2 et une bande 13-18 kDa","Subjects allergic to birch pollen reacting to at least 2 foods, among which are apple, pear, celery, carrot and potato, with IgE to Bet v1 and Bet v2 and a band at 13-18 kDa",,,,,,,
101,"316-1","sujets allergiques au chat et au chien (négatifs in vitro pour les albumines)","Subjects allergic to cat and dog (negative in vitro assay for their albumins)",,,,,,,
102,"318-1","sujets avec des IgE+ au céleri et des bandes de 46 à 60 kDa pour bouleau, armoise, céleri","Subjects with IgE + to celery and bands at 46 and 60 kDa for birch, mugwort and celery",,,,,,,
103,"318-2","sujets ayant une bande à 60 kDa pour armoise et pas pour bouleau et céleri","Subjects having a band at 60 kDa for mugwort but not for birch and celery",,,,,,,
104,"322-1","sujet allergique à l'olivier","A subject alleregic to olive pollen",,,,,,,
105,"323-1","sérum avec des IgE pour Dac g4","Serum with anti-Dac g 4 IgE",,,,,,,
106,"326-1","2 sujets allergiques à l'arachide (cacahuète) et au soja et pas à d'autres légumes","Two subjects allergic to peanuts and to soybeans but not to other vegetables",,,,,,,
107,"327-1","Sujets allergiques aux crevettes (allergie pour les autres produits : non précisée)","Subjects allergic to shrimp (allergy to other products not specified)",,,,,,,
108,"329-1","Pateints poly-polliniques et rapportant des réactions cliniques à divers fruits et légumes","Polyallergic patients who report clinical reactions to various fruits and vegetables",,,,,,,
109,"330-1","Sujets positifs en TC pour  Parthenium","Subjects with + ST to Parthenium",,,,,,,
110,"331-1","Patients allergiques au latex","Patients allergic to latex",,,,,,,
111,"334-1","Patients allergiques aux acariens et aux escargots","Patients allergic to mites and to snails",,,,,,,
112,"334-2","Patients allergiques aux acariens et aux esgargots et RAST+ moule","Patients allergic to mites and to snails and RAST + to mussels",,,,,,,
113,"334-3","Patient allergique aux acariens et aux escargots","Patient allergic to mites and snails",,,,,,,
114,"334-4","Patients allergiques aux acariens et aux escargots avec RAST+ crevette","Patients allergic to mites and snails with + RAST to shrimp",,,,,,,
115,"341-1","Allergie aux graminées et à la tomate","Allergy to grasses and tomato",,,,,,,
116,"341-2","Allergie aux graminées et à la tomate","Allergy to grasses and tomato",,,,,,,
117,"342-1","Sujets TC+ aux cyprès","Subjects ST+ to cypress",,,,,,,
118,"343-1","Allergiques aux acariens","Subjects allergic to mites",,,,,,,
119,"344-1","Sujets polliniques allergiques au kiwi","Subjects with pollinosis and allergy to kiwi",,,,,,,
120,"348-1","Patient asthmatique","An asthmatic patient",,,,,,,
121,"350-1","Patients allergiques au latex avec TC banane positif","Patients allergic to latex with ST+ to banana",,,,,,,
122,"355-1","Allergiques aux acariens sous immunothérapie, avec RAST+ escargot","Subjects allergic to mites receiving immunotherapy, with + RAST to snail",,,,,,,
123,"356-1","Sujets atopiques","Atopic subjects",,,,,,,
124,"357-1","Patients avec pollinose printannière","Patients with spring-time pollinosis",,,,,,,
125,"358-1","Histoire d'allergie au poisson","History of allergy to fish",,,,,,,
126,"365-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
127,"389-1","Allergie et TC+ à Lepidoglyphus","Allergy and ST+ to Lepidoglyphus",,,,,,,
