"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"1-1","Patients doublement positifs pour l'abeille et la guêpe Vespula","USA","9",-1,-1,18-nov.-09,,
"10001-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"10003-1","Enfant allergique aux acariens et aux crustacés et mollusques","Portugal","1",-1,0,23-févr.-09,,"L'inhibition de blot est très tangente, en tout cas pour un rôle de tropos"
"1007-1","Patient allergique au tabac","Espagne","1",-1,-1,06-janv.-08,,
"1008-1",,,,-1,-1,04-mars-09,-1,"Données inexploitables : les sujets n'étaient pas réactifs in vitro pour les inhibiteurs testés !"
"1009-1","Patients allergiques au thon","USA","2",-1,-1,13-nov.-09,,
"101-1","Sujets RAST+ pour Aspergillus","Japon","5",0,-1,29-oct.-07,,
"10128-1",,,,-1,-1,20-juin-09,-1,"Sélection douteuse des érums et effet de CCD même pas évoqué !"
"1013-1","Patients allergiques au latex et à l'avocat et/ou la châtaigne","Espagne","18",0,-1,28-sept.-09,,
"10137-1","Patients polliniques (bouleau, etc..) avec allergie à la mangue","Chine","8",0,-1,20-sept.-09,,
"1014-1","Patients allergiques à la pomme et à la pêche","Espagne","10",0,0,13-nov.-09,,
"1016-1","Banque de sérums: IgE+ pour crevette, crabe, homard","USA","?",-1,0,17-juil.-07,,
"10168-1","Adultes avec asthme du boulanger et syndrome oral kiwi","Espagne","7",-1,-1,12-juin-09,,
"1017-1","Sujets allergiques aux acariens et IgE+ pour l'acarien testé en inhibition (pools)","Espagne (Canaries)","8",0,-1,01-déc.-09,,
"1018-1","Allergiques au kiwi et polliniques au bouleau (5 sujets/9)","Allemagne","8",-1,0,26-juil.-07,,
"10181-1","Enfants avec dermatite atopique et présentant un TC positif pour les graines de Brassica rapa (navette)","Finlande / France","2",-1,-1,01-nov.-09,,
"1019-1","Sujets avec allergie repiratoire persistante et proximité avec des chauves-souris","Espagne","?",-1,-1,06-janv.-08,,
"10195-1",,,,-1,-1,20-juin-09,-1,"utilisation d'antisérums et non de sérums humains"
"10196-1",,,,-1,-1,20-juin-09,-1,"RC entre une 66kD de Prosopis (de nature = ?) et des pollens très exotiques (et le haricot du cap) ! De plus, probable arte-fact CCD"
"102-1","Allergiques aux acariens","Colombie","11",0,-1,17-juil.-07,,
"1020-1","Un cas d'allergie à la figue chez une femme de 55 ans exposée au Ficus","Allemagne","1",-1,-1,26-juil.-07,,
"10201-1","Patients polliniques aux graminées","Australie","2",-1,-1,19-juin-09,,
"10204-1","Patients CAP positifs pour bouleau, hêtre et chêne","Autriche","4",-1,0,19-juin-09,,
"1021-1",,,,-1,-1,30-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"1022-1","Patients ayant présenté une réaction sévère à la bière","Italie","2",-1,-1,06-janv.-08,,
"10234-1","Urticaire généralisée après ingestion de banane chez un enfant de 6 mois","Japon","1",-1,0,19-juin-09,,
"10267-1",,,,-1,-1,20-sept.-09,-1,"pas de RC testée"
"10275-1","Patients avec ABPA","Suisse","5 ?",0,-1,19-juin-09,,
"10293-1","Anaphylaxie au thon (cru) et au makaire (blue marlin)","Japon","1",-1,-1,29-déc.-08,,
"10303-1",,,,-1,-1,18-juin-09,-1,
"1033-1","Patients allergiques à la carotte","Autriche","6",0,0,04-août-07,,
"10346-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un mAb"
"1035-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"10352-1","Anaphylaxie après ingestion de mangue fraîche, sous IT armoise","Allemagne","1",-1,0,18-juin-09,,
"10367-1","Patients allergiques au chien","Espagne / Suède","4",-1,-1,01-déc.-09,,
"1037-1","Patients avec allergie sévère à la noix et à la noix de coco","USA","2",-1,0,01-janv.-08,,
"10373-1","Patients polliniques au platane","Iran","5",0,-1,01-août-09,,
