id_mini_texte,id_item
1,240
2,245
3,238
3,3311
3,407
3,2552
3,2282
4,228
5,361
5,363
5,364
6,371
7,370
7,2661
7,2658
8,338
9,260
10,255
11,233
11,3230
11,3229
12,50022
12,184
12,171
12,2094
12,189
12,188
12,184
12,181
12,180
12,178
13,193
14,50023
14,196
14,198
14,200
14,202
14,203
14,204
15,9
15,7
16,6
17,218
18,222
18,3101
18,2231
18,3098
19,3116
19,95
19,97
19,102
19,91
19,104
19,111
20,109
20,107
20,105
20,108
21,112
22,252
23,169
24,253
25,163
26,170
27,156
27,157
27,1958
28,301
29,315
30,316
31,274
31,2324
31,2325
32,272
32,2323
32,3055
33,281
34,264
34,262
34,263
34,2305
35,312
35,3044
35,3045
36,303
36,2402
36,2403
37,276
38,290
39,291
40,289
40,288
40,2358
41,2337
42,278
43,38
44,298
45,77
45,78
46,53
47,51
47,1258
48,141
48,143
48,142
49,144
49,145
50,119
50,120
50,121
50,122
51,124
52,154
52,1928
53,151
53,152
54,50013
54,58
54,59
54,64
54,1282
54,1283
54,61
54,1264
54,1290
54,57
55,40001
56,40002
57,40003
58,40004
59,40005
60,40006
61,40008
62,40010
63,40012
64,40028
65,40017
66,361
66,371
67,14
67,20
68,239
68,228
69,239
69,240
70,239
70,244
71,239
71,245
72,239
72,249
73,239
73,250
74,119
74,124
75,228
75,38
76,228
76,233
77,228
77,240
78,228
78,244
79,228
79,245
80,228
80,249
81,228
81,272
82,228
82,250
83,228
83,238
84,124
84,38
85,124
85,303
86,124
86,3116
87,124
87,272
88,124
88,274
89,278
89,2337
90,278
90,289
91,278
91,338
92,2337
92,338
93,222
93,3116
94,222
94,224
95,222
95,223
96,6
96,3
97,38
97,301
98,38
98,303
99,38
99,258
100,38
100,46
101,38
101,1258
102,38
102,3116
103,38
103,289
104,38
104,49
105,38
105,240
106,38
106,272
107,38
107,273
108,38
108,274
109,38
109,238
110,151
110,152
111,151
111,154
112,301
112,303
113,252
113,356
114,252
114,253
115,252
115,169
116,254
116,338
117,356
117,253
118,152
118,154
119,112
119,3116
120,198
120,218
121,198
121,202
122,7
122,9
123,3
123,198
124,3
124,218
125,3
125,12
126,405
126,281
127,405
127,338
128,1258
128,3116
129,1258
129,53
130,3116
130,338
131,3116
131,53
132,3116
132,272
133,3116
133,274
134,3116
134,109
135,370
135,371
136,289
136,338
137,289
137,274
138,338
138,315
139,338
139,316
140,338
140,255
141,180
141,184
142,224
142,272
143,184
143,189
144,184
144,193
145,240
145,244
146,240
146,245
147,240
147,249
148,240
148,272
149,240
149,250
150,244
150,245
151,244
151,249
152,244
152,250
153,245
153,249
154,245
154,250
155,249
155,250
156,272
156,274
157,156
157,157
158,189
158,193
